"TypeCode","FreqCode","RefPeriodId","RefYear","RefMonth","Period","ReporterCode","ReporterISO","ReporterDesc","FlowCode","FlowDesc","PartnerCode","PartnerISO","PartnerDesc","Partner2Code","Partner2ISO","Partner2Desc","ClassificationCode","ClassificationSearchCode","IsOriginalClassification","CmdCode","CmdDesc","AggrLevel","IsLeaf","CustomsCode","CustomsDesc","MosCode","MotCode","MotDesc","QtyUnitCode","QtyUnitAbbr","Qty","IsQtyEstimated","AltQtyUnitCode","AltQtyUnitAbbr","AtlQty","IsAltQtyEstimated","NetWgt","IsNetWgtEstimated","GrossWgt","IsGrossWgtEstimated","Cifvalue","Fobvalue","PrimaryValue","LegacyEstimationFlag","IsReported","IsAggregate",
"C","A","20210101","2021","52","2021","24","AGO","Angola","M","Import","654","SHN","Saint Helena","0","W00","World","H5","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","349","false","8","kg","349","false","349","false","0","false","25.06",,"25.06","0","false","true",
"C","A","20210101","2021","52","2021","36","AUS","Australia","M","Import","92","VGB","Br. Virgin Isds","0","W00","World","H5","HS","true","1006","Rice","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","42000","false","8","kg","42000","false","42000","false","42357","false","32189.64","30680.578","32189.64","0","false","true",
"C","A","20210101","2021","52","2021","51","ARM","Armenia","M","Import","660","AIA","Anguilla","0","W00","World","H5","HS","true","190120","Food preparations; mixes and doughs for the preparation of bread, pastry, cakes, biscuits and other bakers' wares","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13122.9","false","8","kg","13122.9","false","13122.9","false","0","false","30794","0","30794","0","false","true",
"C","A","20210101","2021","52","2021","24","AGO","Angola","M","Import","796","TCA","Turks and Caicos Isds","0","W00","World","H5","HS","true","190219","Food preparations; pasta, uncooked (excluding that containing eggs), not stuffed or otherwise prepared","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","196088","false","8","kg","196088","false","196088","false","0","false","94115.43",,"94115.43","0","false","true",
"C","A","20210101","2021","52","2021","84","BLZ","Belize","M","Import","772","TKL","Tokelau","0","W00","World","H5","HS","true","190430","Prepared foods obtained by the swelling or roasting of cereals or cereal products (e.g. corn flakes); cereals, not maize (corn), in grain form or in the form of flakes or other worked grains, from bulgur wheat","6","true","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","26.57","false","8","kg","26.57","false","26.57","false","0","false","101.43",,"101.43","0","false","true",
"C","A","20210101","2021","52","2021","31","AZE","Azerbaijan","M","Import","674","SMR","San Marino","0","W00","World","H5","HS","true","1905","Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","8","kg","2","false","2","false","0","false","36.15",,"36.15","0","false","true",
"C","A","20210101","2021","52","2021","40","AUT","Austria","M","Import","674","SMR","San Marino","0","W00","World","H5","HS","true","1905","Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45","false","8","kg","45","false","45","false","0","false","665.883",,"665.883","0","false","true",
"C","A","20210101","2021","52","2021","68","BOL","Bolivia (Plurinational State of)","M","Import","292","GIB","Gibraltar","0","W00","World","H5","HS","true","1905","Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","343.38","false","8","kg","343.38","false","340","false","0","false","8064.5","7354.29","8064.5","0","false","true",
"C","A","20210101","2021","52","2021","104","MMR","Myanmar","M","Import","772","TKL","Tokelau","0","W00","World","H5","HS","true","1905","Bread, pastry, cakes, biscuits, other bakers' wares, whether or not containing cocoa; communion wafers, empty cachets suitable for pharmaceutical use, sealing wafers, rice paper and similar products","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","16723.5","false","8","kg","16723.5","false","16723.5","false","0","false","11106.12",,"11106.12","0","false","true",
"C","A","20210101","2021","52","2021","76","BRA","Brazil","X","Export","584","MHL","Marshall Isds","0","W00","World","H5","HS","true","1001","Wheat and meslin","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","35","false","8","kg","35","false","32","false","0","false",,"212","212","0","false","true",
