Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01312","Bananas","2021","2021","t","1364","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","24310.01","Beer of barley, malted","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01243","Broad beans and horse beans, green","2021","2021","t","1768.62","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21513","Buffalo fat, unrendered","2021","2021","t","18.81","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01219.01","Cassava leaves","2021","2021","t","0","M","Missing value (data cannot exist, not applicable)",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01520.01","Cassava, fresh","2021","2021","t","336","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21512","Cattle fat, unrendered","2021","2021","t","114.57","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01231","Chillies and peppers, green (Capsicum spp. and Pimenta spp.)","2021","2021","t","321","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","2166","Coconut oil","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01460","Coconuts, in shell","2021","2021","t","409.44","E","Estimated value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","2168","Cottonseed oil","2021","2021","t","0","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01232","Cucumbers and gherkins","2021","2021","t","1347","A","Official figure",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21152","Edible offal of buffalo, fresh, chilled or frozen","2021","2021","t","61.79","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21151","Edible offal of cattle, fresh, chilled or frozen","2021","2021","t","297.89","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21156","Edible offal of goat, fresh, chilled or frozen","2021","2021","t","12.8","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21153","Edible offal of pigs, fresh, chilled or frozen","2021","2021","t","4.15","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","21155","Edible offal of sheep, fresh, chilled or frozen","2021","2021","t","5.61","I","Imputed value",""
"QCL","Crops and livestock products","096","Brunei Darussalam","5510","Production","01599.10","Edible roots and tubers with high starch or inulin content, n.e.c., fresh","2021","2021","t","543.03","I","Imputed value",""
