Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","01371","Almonds, in shell","2021","2021","t","18.81","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5622","Import Value","01371","Almonds, in shell","2021","2021","1000 USD","17","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","21422","Almonds, shelled","2021","2021","t","0.17","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5622","Import Value","21422","Almonds, shelled","2021","2021","1000 USD","2","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5910","Export Quantity","21422","Almonds, shelled","2021","2021","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5922","Export Value","21422","Almonds, shelled","2021","2021","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2021","2021","t","452.81","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5622","Import Value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2021","2021","1000 USD","766","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5910","Export Quantity","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2021","2021","t","430.2","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5922","Export Value","34550","Animal or vegetable fats and oils and their fractions, chemically modified, except those hydrogenated, inter-esterified, re-esterified or elaidinized; inedible mixtures or preparations of animal or vegetable fats or oils","2021","2021","1000 USD","307","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","t","392.18","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5622","Import Value","01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","2021","2021","1000 USD","928","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","21435.01","Apple juice","2021","2021","t","6.41","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5622","Import Value","21435.01","Apple juice","2021","2021","1000 USD","4","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","21435.02","Apple juice, concentrated","2021","2021","t","126.15","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5622","Import Value","21435.02","Apple juice, concentrated","2021","2021","1000 USD","168","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","01341","Apples","2021","2021","t","1888.96","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5622","Import Value","01341","Apples","2021","2021","1000 USD","3289","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5910","Export Quantity","01341","Apples","2021","2021","t","0.38","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5922","Export Value","01341","Apples","2021","2021","1000 USD","1","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","01343","Apricots","2021","2021","t","13.21","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5622","Import Value","01343","Apricots","2021","2021","1000 USD","65","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5910","Export Quantity","01343","Apricots","2021","2021","t","0.03","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5922","Export Value","01343","Apricots","2021","2021","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","21419.01","Apricots, dried","2021","2021","t","0.14","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5622","Import Value","21419.01","Apricots, dried","2021","2021","1000 USD","1","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","01216","Artichokes","2021","2021","t","0.2","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5622","Import Value","01216","Artichokes","2021","2021","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","01211","Asparagus","2021","2021","t","30.41","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5622","Import Value","01211","Asparagus","2021","2021","1000 USD","158","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5910","Export Quantity","01211","Asparagus","2021","2021","t","0.01","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5922","Export Value","01211","Asparagus","2021","2021","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","01311","Avocados","2021","2021","t","530.18","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5622","Import Value","01311","Avocados","2021","2021","1000 USD","1206","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5910","Export Quantity","01311","Avocados","2021","2021","t","3.7","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5922","Export Value","01311","Avocados","2021","2021","1000 USD","24","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2021","2021","t","1","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5622","Import Value","03211","Balata, gutta-percha, guayule, chicle and similar natural gums in primary forms or in plates, sheets or strip","2021","2021","1000 USD","0","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5610","Import Quantity","01312","Bananas","2021","2021","t","9529.71","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5622","Import Value","01312","Bananas","2021","2021","1000 USD","5014","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5910","Export Quantity","01312","Bananas","2021","2021","t","0.5","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5922","Export Value","01312","Bananas","2021","2021","1000 USD","0","A","Official figure",""
